cert,rcon2200_total_deposits,riad4073_total_interest_expense,riad4079_total_noninterest_income,riad4093_total_noninterest_expense,riad4107_total_interest_income,riad4340_net_income,riad4135_salaries_and_employee_benefits,n_missing,riad4092_other_noninterest_expense,riad4518_other_interest_income,name,asset,age,roa,roe,offices,specialization,bank_class,riad3196_relzd_gains(loss)_on_avl-fr-sle_secs,rconk115_ln_rstr_secd_nonfarm_own_pd_90
10057,59910,293,396,2582,3305,849,1462,259,923,15,Bank of Hancock County,74967,114.76986301369863,1.08,5.83,1,Other Specialized Lending < 1 Billion,NM,44,0
3850,33835,286,167,1018,1782,636,647,252,237,0,"First Community Bank, Xenia-Flora",43056,97.42465753424658,1.47,12.46,2,Agricultural  Specialization,SM,0,0
28868,197749,1978,1385,6832,8412,831,4013,259,2100,45,"Mineola Community Bank, S.S.B.",251705,85.16986301369863,0.37,2.84,6,Mortgage Lending Specialization,SB,0,0
14083,8357,17,218,609,370,-7,280,252,307,0,Bison State Bank,9703,118.43835616438356,-0.08,-0.56,1,Agricultural  Specialization,NM,0,0
10202,39842,334,224,1304,2744,1260,748,252,418,16,Lowry State Bank,50913,119.68219178082192,2.54,24.61,1,Agricultural  Specialization,NM,0,0
6959,419911,1632,3650,15892,20315,4554,9596,250,4750,235,Ballston Spa National Bank,531968,181.4794520547945,0.89,10.87,13,Commercial Lending Specialization,N,0,0
17639,228471,1154,2237,7624,10657,3811,4079,250,2823,5,First State Bank & Trust Company,253168,62.824657534246576,1.6,17.81,4,Commercial Lending Specialization,NM,0,0
9392,133093,1659,539,3798,7414,2126,2241,252,1067,0,Bank of Grandin,159344,106.3972602739726,1.37,8.42,5,Commercial Lending Specialization,NM,0,0
19184,724573,1419,7780,18758,22003,9445,11222,252,5092,37,Hilltop National Bank,809986,54.827397260273976,1.29,12.12,6,Other Specialized Lending < 1 Billion,N,-81,0
3384,233254,1037,1794,6061,9815,3556,3392,259,2075,8,The Liberty National Bank in Paris,283358,88.12876712328767,1.24,7.73,3,All Other Specialization  < 1 Billion,N,-13,0
22430,62740,1933,141,1214,4103,1115,549,259,523,100,Washita State Bank,106129,42.1972602739726,1.01,8.38,1,Other Specialized Lending < 1 Billion,NM,18,0
13046,154661,1407,1100,5389,7511,1582,2997,259,1972,54,Farmers & Merchants Bank,197286,108.43287671232876,0.79,6.97,2,Commercial Lending Specialization,NM,120,0
23597,142891,474,1179,5435,6829,1567,2671,211,2233,11,Lamar National Bank,161021,37.56712328767123,1,9.45,1,Commercial Lending Specialization,N,2,0
28866,2930786,46964,4800,41442,154863,53688,26482,185,11799,1781,Oritani Bank,4089332,108.43287671232876,1.3,10.81,27,Commercial Lending Specialization,SB,0,0
18525,11940,96,67,363,660,239,220,252,115,32,State Bank of Marietta,15689,77.79452054794521,1.61,14.76,1,Agricultural  Specialization,NM,-3,0
17230,504508,2698,886,10906,22956,7118,6743,252,2603,0,Albany Bank and Trust Company National Association,600844,65.91780821917808,1.2,7.71,4,Commercial Lending Specialization,N,0,0
5408,51459,563,174,1607,2791,792,914,252,587,105,Genoa Community Bank,62074,116.43835616438356,1.35,11.13,1,Agricultural  Specialization,NM,-3,0
